Customer ID,Country,Recency,Monetary,Frequency
12346.0,United Kingdom,165,372.86,11
12347.0,Iceland,3,1323.32,2
12348.0,Finland,74,222.15999999999997,1
12349.0,Italy,43,2671.14,3
12351.0,Unspecified,11,300.93,1
12352.0,Norway,11,343.8,2
12353.0,Bahrain,44,317.76,1
12355.0,Bahrain,203,488.21000000000004,1
12356.0,Portugal,16,3562.25,3
12357.0,Switzerland,24,12079.99,2
12358.0,Austria,11,2719.01,3
12359.0,Cyprus,61,2563.36,6
12360.0,Austria,15,1590.83,5
12361.0,Belgium,98,321.35,3
12362.0,Belgium,374,130.0,1
12366.0,Cyprus,269,500.24,1
12368.0,Cyprus,264,917.7,1
12369.0,Austria,49,1791.15,3
12370.0,Austria,260,774.62,3
12371.0,Switzerland,45,2179.42,3
12373.0,Austria,260,763.0500000000001,2
12374.0,Austria,57,2246.29,3
12376.0,Switzerland,25,503.15,2
12377.0,Switzerland,17,1798.2,2
12378.0,Switzerland,198,1407.7,1
12379.0,Belgium,58,767.98,2
12380.0,Belgium,101,6951.49,7
12385.0,Belgium,15,1938.4,1
12386.0,Australia,2,258.90000000000003,1
12387.0,Australia,51,143.94,1
12388.0,Australia,81,1120.45,2
12389.0,Australia,38,1433.33,3
12391.0,Cyprus,100,2312.53,5
12392.0,Australia,227,234.75000000000003,1
12393.0,Australia,18,816.85,2
12395.0,Belgium,7,2048.64,4
12396.0,RSA,310,931.4300000000001,1
12399.0,Belgium,21,853.65,3
12400.0,Australia,50,205.25,1
12402.0,Belgium,28,1031.3,5
12403.0,Denmark,157,591.6600000000001,1
12404.0,Finland,318,63.24,1
12406.0,Denmark,35,2975.06,3
12408.0,Belgium,21,1452.22,3
12409.0,Switzerland,56,12346.62,4
12410.0,Switzerland,138,320.38,1
12411.0,Australia,45,346.9,1
12412.0,Denmark,38,1370.05,3
12413.0,Spain,38,241.35,1
12414.0,Austria,99,390.0,3
12415.0,Australia,11,19543.84,7
12416.0,Australia,292,202.56,1
12417.0,Belgium,46,3167.81,11
12418.0,Switzerland,49,1352.62,3
12419.0,Spain,21,503.01,2
12421.0,Spain,51,291.56,2
12422.0,Australia,30,4428.24,14
12423.0,Denmark,23,763.08,2
12424.0,Australia,58,1579.07,2
12425.0,Portugal,84,964.21,1
12426.0,Germany,298,762.48,1
12427.0,Germany,7,303.5,1
12429.0,Denmark,1,3735.51,5
12431.0,Belgium,9,4370.52,13
12433.0,Norway,2,7205.39,5
12434.0,Australia,17,297.29,1
12435.0,Denmark,32,6096.04,4
12437.0,France,31,7731.99,21
12439.0,Cyprus,318,1158.18,2
12440.0,Austria,98,859.2,2
12441.0,France,2,173.55,1
12443.0,Norway,368,485.31,1
12445.0,Spain,56,301.58000000000004,1
12449.0,Denmark,46,768.6,2
12450.0,Spain,35,490.32,3
12451.0,Switzerland,99,3634.36,3
12454.0,Spain,31,13151.44,4
12455.0,Cyprus,81,3413.09,4
12457.0,Switzerland,71,632.6800000000001,1
12458.0,Switzerland,63,830.09,2
12459.0,Spain,241,454.36,1
12460.0,Belgium,92,326.65,1
12466.0,France,318,56.73,1
12467.0,USA,59,132.8,1
12468.0,Germany,162,2941.2,3
12469.0,Thailand,158,3070.54,2
12470.0,Unspecified,325,211.95,1
12471.0,Germany,10,20139.74,49
12472.0,Germany,5,11308.48,13
12474.0,Germany,14,5048.66,13
12475.0,Germany,45,426.26,1
12476.0,Germany,32,7298.99,12
12477.0,Germany,35,7056.63,3
12480.0,Germany,35,2183.2200000000003,3
12481.0,Germany,1,6765.07,6
12482.0,Sweden,212,23691.4,29
12483.0,Sweden,14,2635.6,11
12484.0,Spain,119,1828.43,6
12485.0,Sweden,165,708.1,1
12486.0,Sweden,67,1037.28,1
12487.0,Sweden,366,285.3,1
12490.0,France,14,4405.71,11
12492.0,Germany,39,452.0,1
12494.0,France,1,626.77,3
12495.0,Sweden,276,357.4,1
12496.0,Spain,256,54.09,2
12497.0,Germany,36,5205.400000000001,2
12499.0,Germany,196,393.72,1
12500.0,Germany,71,1697.39,8
12503.0,Spain,220,1126.0,1
12504.0,Germany,53,297.0,2
12505.0,Italy,44,955.2,1
12507.0,Spain,220,539.25,1
12510.0,Spain,95,4195.45,7
12511.0,Greece,64,3084.02,1
12514.0,Italy,277,580.08,1
12516.0,Germany,66,1336.56,2
12519.0,Germany,112,385.70000000000005,1
12523.0,France,10,2582.38,12
12524.0,Germany,24,6640.39,9
12525.0,France,134,973.73,3
12527.0,Germany,130,386.8,2
12529.0,France,164,316.48,1
12530.0,Germany,51,2096.98,5
12531.0,Germany,322,1807.98,1
12533.0,Germany,263,1367.89,2
12537.0,Sweden,44,732.94,1
12538.0,Spain,14,276.5,1
12539.0,Spain,86,5646.400000000001,3
12540.0,Spain,14,8854.25,16
12542.0,Spain,120,481.88,2
12543.0,Spain,84,980.25,1
12547.0,Spain,136,175.78,1
12549.0,USA,211,1575.68,6
12553.0,France,21,916.47,2
12554.0,Spain,84,468.5,1
12555.0,Spain,318,129.23,1
12557.0,Spain,7,6725.18,4
12562.0,France,21,1185.18,2
12563.0,Italy,44,249.24,1
12567.0,France,3,4308.58,7
12568.0,Germany,280,70.0,1
12570.0,Spain,318,77.52,1
12573.0,France,17,556.87,4
12575.0,France,93,622.82,2
12576.0,Poland,28,826.89,3
12577.0,France,17,995.9499999999999,5
12578.0,Italy,21,1847.94,2
12580.0,Germany,212,637.2,1
12582.0,Finland,58,1469.04,2
12583.0,France,9,7166.06,13
12586.0,Italy,10,1865.73,3
12588.0,Finland,35,743.88,3
12589.0,France,57,4048.98,6
12591.0,Italy,26,899.3,2
12592.0,Germany,155,2145.06,3
12594.0,Italy,14,1751.89,5
12595.0,Germany,140,299.02,1
12598.0,France,99,1511.01,3
12599.0,France,17,1264.14,6
12600.0,Germany,7,2444.88,12
12601.0,Germany,40,104.2,1
12605.0,Germany,12,1232.95,4
12606.0,Spain,318,21.0,1
12608.0,United Kingdom,40,415.79,1
12609.0,Germany,10,2309.01,6
12613.0,Germany,24,3490.69,5
12615.0,France,49,3449.79,4
12616.0,France,24,417.8,1
12619.0,Germany,196,140.14,1
12621.0,Germany,1,11086.14,16
12623.0,Germany,52,3442.7400000000002,6
12625.0,Germany,145,2481.06,2
12629.0,Sweden,21,1558.22,2
12631.0,Finland,92,2841.07,5
12632.0,Germany,156,804.88,2
12633.0,Germany,18,3514.18,3
12634.0,USA,171,490.0,2
12635.0,Germany,28,1241.23,2
12636.0,USA,374,141.0,1
12637.0,France,14,2318.41,4
12638.0,Sweden,275,249.8,1
12639.0,Sweden,70,826.27,2
12643.0,France,21,5005.78,6
12644.0,Germany,66,1440.58,3
12645.0,Germany,45,1764.12,4
12647.0,Germany,3,14201.53,27
12648.0,Germany,73,793.95,3
12649.0,Germany,18,1671.14,5
12651.0,France,14,263.75,3
12652.0,Germany,70,97.05000000000001,1
12653.0,Israel,162,1950.98,1
12655.0,France,59,261.35,1
12656.0,France,61,2356.66,3
12661.0,Sweden,72,162.0,1
12662.0,Germany,9,3138.2400000000002,10
12663.0,Germany,260,239.4,2
12664.0,Finland,150,1188.16,2
12665.0,Germany,53,250.6,2
12666.0,Israel,30,1248.42,1
12668.0,Germany,14,7637.53,6
12670.0,France,21,764.24,2
12671.0,Germany,242,2622.481,1
12672.0,France,231,211.15,1
12673.0,Germany,37,619.5,1
12675.0,Italy,189,958.5,2
12676.0,Sweden,44,1511.7,5
12677.0,France,191,395.1,2
12678.0,France,11,16652.72,9
12681.0,France,3,17080.74,24
12682.0,France,1,11745.69,23
12683.0,France,1,4220.21,8
12686.0,France,7,89.14,1
12687.0,Sweden,116,2138.91,2
12691.0,France,56,134.6,1
12692.0,France,273,110.95,1
12693.0,Germany,32,847.11,3
12694.0,France,57,973.68,1
12695.0,France,164,825.02,3
12696.0,Finland,70,851.91,2
12698.0,Germany,226,339.75,1
12699.0,Germany,53,638.11,1
12701.0,Germany,165,1648.7,4
12703.0,Germany,269,722.98,3
12705.0,Germany,19,4893.81,5
12708.0,Germany,4,2601.19,9
12709.0,Germany,2,21356.82,20
12711.0,Germany,247,1339.05,2
12712.0,Germany,1,2797.53,10
12714.0,France,24,9384.85,7
12717.0,Greece,226,277.93,1
12720.0,Germany,5,2478.94,6
12721.0,France,21,1356.95,2
12724.0,France,19,1286.11,3
