,Country,Average,Count
0,Australia,2203.0192857142856,14
1,Austria,1341.433,10
2,Bahrain,402.985,2
3,Belgium,1681.608125,16
4,Brazil,268.27,1
5,Canada,1216.66,1
6,Channel Islands,2231.4836363636364,11
7,Cyprus,1627.107142857143,7
8,Denmark,5707.903333333334,9
9,EIRE,71361.812,5
10,Finland,1054.2085714285715,7
11,France,3110.9663829787237,47
12,Germany,3020.825686567164,67
13,Greece,3583.9175,4
14,Iceland,1323.32,1
15,Israel,1599.7,2
16,Italy,1369.7436363636364,11
17,Japan,1620.3366666666668,6
18,Korea,559.255,2
19,Lithuania,4892.68,1
20,Malta,5373.5,1
21,Netherlands,12217.545454545454,22
22,Nigeria,140.39,1
23,Norway,4788.836,5
24,Poland,1783.8999999999999,2
25,Portugal,1324.745,18
26,RSA,931.43,1
27,Singapore,4037.77,1
28,Spain,1974.9733333333334,24
29,Sweden,3323.211875,16
30,Switzerland,3224.2346153846156,13
31,Thailand,3070.54,1
32,USA,797.745,6
33,United Arab Emirates,1825.1025,4
34,United Kingdom,1867.5143861460956,3970
35,Unspecified,1486.645,4
36,West Indies,536.41,1
