,Recency,Monetary,Frequency,Average,Count,Amount
0,283,230.55,10,1867.5143861460956,3970,142.31
1,206,1268.52,2,1369.7436363636364,11,1402.62
2,203,488.21000000000004,1,402.985,2,0.0
3,186,1697.93,2,1341.433,10,1021.08
4,262,1522.23,4,1627.107142857143,7,1041.13
5,199,780.04,3,1341.433,10,810.79
6,215,207.35,2,1681.608125,16,114.0
7,374,130.0,1,1681.608125,16,0.0
8,269,500.24,1,1627.107142857143,7,0.0
9,264,917.6999999999999,1,1627.107142857143,7,0.0
10,277,348.32,1,1341.433,10,1442.83
11,260,774.62,3,1341.433,10,0.0
12,281,607.6800000000001,2,3224.2346153846156,13,1571.74
13,260,763.0500000000001,2,1341.433,10,0.0
14,224,1388.54,1,1341.433,10,857.75
15,225,1210.96,1,3224.2346153846156,13,587.24
16,198,1407.7,1,3224.2346153846156,13,0.0
17,282,3217.3,3,1681.608125,16,3734.19
18,218,461.62,1,2203.0192857142856,14,658.83
19,203,563.03,2,2203.0192857142856,14,870.3
20,233,1902.19,4,1627.107142857143,7,410.34
21,227,234.75000000000003,1,2203.0192857142856,14,0.0
22,238,1125.44,1,1681.608125,16,923.2
23,310,931.43,1,931.43,1,0.0
24,280,205.98,1,1681.608125,16,647.6700000000001
25,236,505.35,2,1681.608125,16,525.95
26,318,63.24,1,1054.2085714285715,7,0.0
27,232,1629.2,2,5707.903333333334,9,1345.8600000000001
28,185,7013.68,2,3224.2346153846156,13,5332.94
29,292,202.56,1,2203.0192857142856,14,0.0
30,253,1465.95,5,1681.608125,16,1701.8600000000001
31,212,879.3100000000001,2,3224.2346153846156,13,473.31
32,199,2676.34,7,2203.0192857142856,14,1751.9
33,184,446.54,1,2203.0192857142856,14,1132.53
34,298,762.48,1,3020.825686567164,67,0.0
35,182,1407.3600000000001,2,5707.903333333334,9,2328.15
36,200,1967.76,5,1681.608125,16,2402.76
37,273,1736.88,2,5707.903333333334,9,4359.16
38,191,4412.02,9,3110.9663829787237,47,3319.97
39,318,1158.18,2,1627.107142857143,7,0.0
40,353,568.51,1,1341.433,10,290.69
41,368,485.31,1,4788.836,5,0.0
42,213,2929.95,3,1627.107142857143,7,483.14
43,241,454.36,1,1974.9733333333334,24,0.0
44,318,56.73,1,3110.9663829787237,47,0.0
45,245,2329.54,2,3020.825686567164,67,611.66
46,325,211.95,1,1486.645,4,0.0
47,186,9936.63,26,3020.825686567164,67,10203.11
48,228,4302.29,7,3020.825686567164,67,7006.19
49,180,1166.07,4,3020.825686567164,67,3882.59
50,259,2021.23,1,3020.825686567164,67,5035.4
51,242,3275.6,2,3020.825686567164,67,3489.47
52,212,23691.4,29,3323.211875,16,0.0
53,184,1353.1000000000001,6,3323.211875,16,1282.5
54,285,706.8,3,1974.9733333333334,24,1121.63
55,366,285.29999999999995,1,3323.211875,16,0.0
56,217,2547.17,7,3110.9663829787237,47,1858.54
57,212,344.87,1,3110.9663829787237,47,281.9
58,276,357.4,1,3323.211875,16,0.0
59,256,54.09,2,1974.9733333333334,24,0.0
60,280,1211.76,1,3020.825686567164,67,3993.6400000000003
61,196,393.72,1,3020.825686567164,67,0.0
62,243,1327.04,6,3020.825686567164,67,370.35
63,220,1126.0,1,1974.9733333333334,24,0.0
64,232,134.4,1,3020.825686567164,67,162.60000000000002
65,220,539.25,1,1974.9733333333334,24,0.0
66,260,3414.23,6,1974.9733333333334,24,781.22
67,277,580.08,1,1369.7436363636364,11,0.0
68,235,689.46,1,3020.825686567164,67,647.1
69,189,1624.15,6,3110.9663829787237,47,958.23
70,261,2282.58,3,3020.825686567164,67,4357.81
71,192,713.83,2,3110.9663829787237,47,259.9
72,233,657.54,2,3020.825686567164,67,1439.44
73,322,1807.98,1,3020.825686567164,67,0.0
74,263,1367.89,2,3020.825686567164,67,0.0
75,352,5149.06,2,1974.9733333333334,24,497.34000000000003
76,211,4065.57,10,1974.9733333333334,24,4788.68
77,276,364.79,1,1974.9733333333334,24,117.09
78,211,1575.68,6,797.745,6,0.0
79,318,129.23,1,1974.9733333333334,24,0.0
80,182,3661.2000000000003,2,1974.9733333333334,24,3063.98
81,218,871.13,2,3110.9663829787237,47,3437.45
82,280,70.0,1,3020.825686567164,67,0.0
83,318,77.52,1,1974.9733333333334,24,0.0
84,372,210.55,1,3110.9663829787237,47,785.4
85,212,637.2,1,3020.825686567164,67,0.0
86,213,837.11,1,1054.2085714285715,7,631.9300000000001
87,190,3235.45,6,3110.9663829787237,47,3930.61
88,359,422.35,1,1369.7436363636364,11,1443.38
89,233,328.9,1,1054.2085714285715,7,414.98
90,325,715.5,1,3110.9663829787237,47,3333.48
91,282,154.14,1,1369.7436363636364,11,1597.75
92,282,649.71,2,3110.9663829787237,47,861.3
93,184,588.6800000000001,2,3110.9663829787237,47,675.46
94,213,1392.81,6,3020.825686567164,67,1052.0700000000002
95,318,21.0,1,1974.9733333333334,24,0.0
96,197,1025.75,3,3020.825686567164,67,1283.26
97,245,1743.43,2,3020.825686567164,67,1747.26
98,267,1155.48,1,3110.9663829787237,47,2294.31
99,196,140.14,1,3020.825686567164,67,0.0
100,201,2566.5,4,3020.825686567164,67,8519.64
101,180,2719.79,4,3020.825686567164,67,722.95
102,232,969.69,1,3020.825686567164,67,1511.37
103,180,2198.55,4,1054.2085714285715,7,642.52
104,200,394.32,1,3020.825686567164,67,410.56
105,184,360.0,1,797.745,6,130.0
106,374,141.0,1,797.745,6,0.0
107,275,249.8,1,3323.211875,16,0.0
108,263,253.57999999999998,1,3323.211875,16,572.69
109,190,2319.4,3,3110.9663829787237,47,2686.38
110,306,868.13,2,3020.825686567164,67,572.45
